"Name","DisplayName","Status","StartType","Time"
"perceptionsimulation","Windows Perception Simulation Service","Stopped","Manual","04-22-2024 14:09:32"
"PerfHost","Performance Counter DLL Host","Stopped","Manual","04-22-2024 14:09:32"
"PhoneSvc","Phone Service","Running","Manual","04-22-2024 14:09:32"
"PimIndexMaintenanceSvc_94919","Contact Data_94919","Stopped","Manual","04-22-2024 14:09:32"
"pla","Performance Logs & Alerts","Stopped","Manual","04-22-2024 14:09:32"
"PlugPlay","Plug and Play","Running","Manual","04-22-2024 14:09:32"
"PNRPAutoReg","PNRP Machine Name Publication Service","Stopped","Manual","04-22-2024 14:09:32"
"PNRPsvc","Peer Name Resolution Protocol","Stopped","Manual","04-22-2024 14:09:32"
"PolicyAgent","IPsec Policy Agent","Running","Manual","04-22-2024 14:09:32"
"postgresql-x64-16","postgresql-x64-16 - PostgreSQL Server 16","Running","Automatic","04-22-2024 14:09:32"
"Power","Power","Running","Automatic","04-22-2024 14:09:32"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual","04-22-2024 14:09:32"
"PrintWorkflowUserSvc_94919","PrintWorkflow_94919","Stopped","Manual","04-22-2024 14:09:32"
"ProfSvc","User Profile Service","Running","Automatic","04-22-2024 14:09:32"
"PushToInstall","Windows PushToInstall Service","Stopped","Manual","04-22-2024 14:09:32"
"QWAVE","Quality Windows Audio Video Experience","Running","Manual","04-22-2024 14:09:32"
"RasAuto","Remote Access Auto Connection Manager","Stopped","Manual","04-22-2024 14:09:32"
"RasMan","Remote Access Connection Manager","Running","Automatic","04-22-2024 14:09:32"
"RemoteAccess","Routing and Remote Access","Stopped","Disabled","04-22-2024 14:09:32"
"RemoteRegistry","Remote Registry","Stopped","Disabled","04-22-2024 14:09:32"
"RetailDemo","Retail Demo Service","Stopped","Manual","04-22-2024 14:09:32"
"RmSvc","Radio Management Service","Running","Manual","04-22-2024 14:09:32"
"RpcEptMapper","RPC Endpoint Mapper","Running","Automatic","04-22-2024 14:09:32"
"RpcLocator","Remote Procedure Call (RPC) Locator","Stopped","Manual","04-22-2024 14:09:32"
"RpcSs","Remote Procedure Call (RPC)","Running","Automatic","04-22-2024 14:09:32"
"RtkAudioService","Realtek Audio Service","Running","Automatic","04-22-2024 14:09:32"
"RtkBtManServ","Realtek Bluetooth Device Manager Service","Running","Automatic","04-22-2024 14:09:32"
"SamSs","Security Accounts Manager","Running","Automatic","04-22-2024 14:09:32"
"SCardSvr","Smart Card","Stopped","Manual","04-22-2024 14:09:32"
